,GLoVe,TFiDF,GLoVe + TFiDF,Text Distance,Bert
0,16.46754789352417,13.825149774551392,10.833026647567749,3.8709328174591064,25.638694524765015
1,8.597617149353027,7.479785203933716,7.8512654304504395,3.8626320362091064,25.805011987686157
2,8.673301219940186,7.679839134216309,7.954300165176392,3.6933515071868896,25.487140655517578
3,8.459516048431396,7.489448308944702,7.9667158126831055,3.87153959274292,25.353596925735474
4,8.795531749725342,9.21508502960205,7.981604337692261,3.8778603076934814,25.81151533126831
5,8.502275943756104,7.453635931015015,7.887333393096924,3.850184440612793,37.529409408569336
6,8.825063467025757,7.54712986946106,7.913511276245117,3.7734568119049072,25.054134130477905
7,8.571929693222046,7.27532958984375,10.506136894226074,7.441404819488525,40.426002979278564
8,17.424591779708862,8.392025470733643,12.880319833755493,6.601203918457031,28.440476417541504
9,10.359695434570312,7.337626695632935,8.229466199874878,4.032049894332886,25.170963048934937
Total,104.6770703792572,83.69505500793457,90.00367999076843,44.87461614608765,284.7169454097748
